Product_ID,Stage_1,Stage_2,Stage_3
P001,Pass,Pass,Pass
P002,Fail,Pass,Pass
P003,Pass,Pass,Pass
P004,Pass,Pass,Fail
P005,Pass,Fail,Pass
P006,Pass,Pass,Pass
P007,Pass,Pass,Pass
P008,Fail,Fail,Pass
P009,Pass,Pass,Pass
P010,Pass,Pass,Pass
P011,Pass,Pass,Pass
P012,Fail,Pass,Pass
P013,Fail,Fail,Pass
P014,Pass,Fail,Pass
P015,Pass,Pass,Pass
P016,Pass,Fail,Pass
P017,Pass,Fail,Pass
P018,Pass,Pass,Pass
P019,Pass,Fail,Pass
P020,Pass,Pass,Pass
P021,Pass,Fail,Pass
P022,Pass,Fail,Pass
P023,Pass,Pass,Pass
P024,Pass,Pass,Pass
P025,Pass,Pass,Pass
P026,Pass,Pass,Pass
P027,Pass,Fail,Fail
P028,Pass,Fail,Pass
P029,Pass,Pass,Fail
P030,Pass,Pass,Pass
P031,Pass,Pass,Pass
P032,Pass,Pass,Pass
P033,Pass,Pass,Pass
P034,Fail,Pass,Pass
P035,Fail,Fail,Pass
P036,Fail,Pass,Pass
P037,Pass,Pass,Pass
P038,Pass,Pass,Pass
P039,Pass,Pass,Pass
P040,Pass,Fail,Pass
P041,Pass,Fail,Fail
P042,Pass,Pass,Fail
P043,Pass,Pass,Fail
P044,Fail,Pass,Pass
P045,Pass,Pass,Pass
P046,Pass,Pass,Fail
P047,Pass,Pass,Pass
P048,Pass,Pass,Fail
P049,Pass,Pass,Fail
P050,Pass,Pass,Fail
P051,Fail,Fail,Pass
P052,Pass,Pass,Pass
P053,Fail,Pass,Fail
P054,Fail,Pass,Pass
P055,Pass,Fail,Pass
P056,Fail,Pass,Pass
P057,Pass,Pass,Fail
P058,Pass,Fail,Pass
P059,Pass,Pass,Pass
P060,Pass,Pass,Pass
P061,Pass,Pass,Pass
P062,Pass,Pass,Fail
P063,Fail,Pass,Pass
P064,Pass,Pass,Pass
P065,Pass,Pass,Fail
P066,Pass,Fail,Pass
P067,Pass,Pass,Pass
P068,Fail,Pass,Pass
P069,Pass,Pass,Pass
P070,Fail,Pass,Pass
P071,Pass,Pass,Pass
P072,Pass,Pass,Pass
P073,Pass,Pass,Fail
P074,Fail,Pass,Fail
P075,Pass,Pass,Pass
P076,Pass,Pass,Pass
P077,Pass,Pass,Pass
P078,Pass,Pass,Pass
P079,Pass,Fail,Pass
P080,Pass,Pass,Pass
P081,Fail,Pass,Fail
P082,Pass,Pass,Pass
P083,Pass,Fail,Pass
P084,Pass,Fail,Pass
P085,Pass,Pass,Pass
P086,Pass,Pass,Pass
P087,Pass,Fail,Pass
P088,Pass,Pass,Pass
P089,Fail,Pass,Pass
P090,Pass,Pass,Pass
P091,Pass,Pass,Pass
P092,Pass,Fail,Pass
P093,Pass,Fail,Pass
P094,Pass,Pass,Pass
P095,Pass,Pass,Pass
P096,Pass,Pass,Pass
P097,Pass,Pass,Pass
P098,Pass,Fail,Pass
P099,Pass,Fail,Pass
P100,Pass,Fail,Pass
